ma_loai_sp,ma_sp,gia_du_doan,ten_sp
1,SP01,22.819909002817067,Cafe sữa
1,SP02,20.89665482394032,Cafe đen
1,SP03,24.708798537603336,Cafe trứng
1,SP04,22.229384846067433,Latte
1,SP05,24.370722452011332,Latte matcha
1,SP06,23.37268877022554,Mocha
1,SP07,23.495709098369467,Cappuccino
2,SP08,18.50286914683879,Sữa chua
2,SP09,19.303203405344664,Sữa chua đá
2,SP10,17.90896524483847,Trà xanh
2,SP11,19.37904425965859,Trà đào
2,SP12,18.750775713567798,Trà chanh
2,SP13,21.024568732144477,Sinh tố
2,SP14,21.563019835003878,Nước ép trái cây
2,SP15,20.551009564300614,Nước ngọt
3,SP16,22.073161633010965,Bánh ngọt
3,SP17,20.98041692793355,Bánh mì
3,SP18,22.779136943856827,Bánh Cheesecake
